nombre,tipo_plaza,ciudad,wifi,cine,estacionamiento,tiendas,niveles,Autoservicio,"Cafés, Helados y Dulces",Calzado,Departamental,Deportes,Dulces y Chocolates,Entretenimiento,Gimnasio,"Foto, Música, Libros y Regalos",Hogar,Joyería y Accesorios,Mascotas,Moda,Niños y bebés,Ópticas,Otros,Restaurantes y Food Court,Salud y Belleza,Servicios,Tecnología,Vinos y Licores,num_elementos,num_tiendas
plaza tepeyac,Lifestyle Center,Jalisco Zapopan,si,si,si,si,1 nivel,"""Sam's Club"", 'Walmart'","La Michoacana', 'Nutrisa'","'Capa de Ozono', 'Dorothy Gaynor', 'Emyco', 'Flexi', 'Georgie Boy', 'Giolini', 'Juvena', 'La Milagresa LM & CO.', 'Michel Domit', 'Orto Calce', 'Rudos', 'Tennix', 'Varanni', 'Vobbia', 'Zapaterías Morelos'",Subrbia',0,0,"'Cinépolis', 'Game Planet', 'Mixup'",0," 'Artículos Orientales', 'Modela Tepeyac', 'Vazzi'"," 'Ingenia Muebles', 'Salas Exclusivas', 'Telas Bayón'",,"'Chido One', 'Cristal Joyas', 'Mobo'"," 'Aldo Conti', 'D.S Jeans', 'Ferrioni', 'IXS Clothings', 'Julio', 'Líneas', 'Liz Minelli', 'Mabel', 'Mama Mía', 'Nicholas', 'P.E. Collection', 'Quarry Jeans', 'Vicky Form'","'Campanita & Kids', 'Lau Loren'","'Óptica Paris', 'Ópticas Devlyn', 'Ópticas Lux', 'Ópticas York'",0,"'Burger King', 'El Portón', 'La Tahona', 'La Tahona', 'Los Taquitos Express', 'Pollo Río Po', 'Ragazzi', 'Siang Chuns', 'Subway', 'Teriyaki San', 'Vips'","'Bella & Chic', 'GNC'"," 'Axtel', 'Bansefi', 'Casa de Empeño El Diamante', 'Connect Hearing', 'Dry Clean NY', 'Estética Imagen', 'Estética Look', ""Estética Victor's"", 'Stilisimo', 'Telcel', 'Tintorerías MAX', 'Uñas Finas'","Majestic', 'RadioShack', 'Wintell Movistar'",0,15,79
plaza sendero toluca,Lifestyle Center,Estado de ... San Mateo ...,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,'Mama mia',0,0,0,0,0,0,0,0,1,1
plaza sendero san roque,Lifestyle Center,Nuevo Leó... Valle de J...,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza sendero las torres,Lifestyle Center,Chihuahua Juárez,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza sendero la fe,Lifestyle Center,Nuevo Leó... Ciudad Apo...,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza sendero juarez,Lifestyle Center,Chihuahua Juárez,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza sendero ixtapaluca,Lifestyle Center,Estado de ... Ixtapaluca,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza sendero escobedo,Lifestyle Center,Nuevo Leó... General Es...,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza sendero apodaca,Lifestyle Center,Nuevo Leó... Ciudad Apo...,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza satelite,Lifestyle Center,Estado de ... Naucalpan ...,si,si,si,si,3 niveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
plaza santa teresa,Lifestyle Center,CDMX,si,si,si,si,2 niveles,0,"'La Grosella', ""Nuny's Yogurt"", 'Nutrisa', 'Santa Clara', 'Starbucks'",Tatos',0,0,Chocolai',0,Fit23',0," 'Artell', 'Cocinas Quetzal', 'Comex', 'Duartee & Co', 'Marcos Gallery', 'Monilu'","'Alicia', 'Framenti', 'Jali', 'Tanya Moss'"," 'Clínica Veterinaria Dr. Altami...', 'Hopital Veterinario Pedregal', 'Maskota'","'Beluga', 'Berg Outdoor México', 'Blu Lagoon', 'Érase una vez...', 'Lúlu', 'Lúlu', 'LVG Internacional', 'Raquel Orozco', 'Toro', 'Unser', 'Zingara Swimwear'","'Babymundo', 'Carpolina', 'Catimini', 'Neck & Neck', 'Petite Couture'",0,0," 'El Tizoncito', 'Frutens', 'Kokoro', 'La Fenicia', 'Orígenes'","Depell Kroma', 'GNC'","'Blukau', 'Casa Dandy', 'Depilité', 'Estética Ohm', 'Farmacia del Ahorro', 'Grupo A+V México', 'HSBC', 'Invidia Hair Studio', 'IXE', 'Laboratorio Médico Polanco', 'Mac Care', 'Scotiabank', 'The Party Factory'",0,"'La Castaña', 'Mr. Beef', 'Oná'",13,60
plaza san miguel,Lifestyle Center,Jalisco Los Gavila...,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza san marcos,Lifestyle Center,Aguascalientes,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza san juan,Lifestyle Center,Querétaro San Juan d...,si,si,si,si,2 niveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza san jose,Lifestyle Center,CDMX,si,si,si,si,2 niveles,0,Pastelería Alcazar',0,0,0,0,0,Curves',0,"'Amueblarte', 'Le Paysage'",,"'Bravo Perro Fitness', 'Veterinario'",0,0,'Óptica Luz Mar',0,"'Big Sushi', 'Pizzas Mamá Rox', 'Style Never Dies Mx'",0,"Body Wrap', 'Cossette', ""D'Maryss""",0,0,7,13
plaza san jose,Lifestyle Center,Puebla Heróica P...,si,si,si,si,2 niveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
plaza san diego,Lifestyle Center,Puebla Cholula de...,si,si,si,si,1 nivel,"'Bodega Aurrera', ""Sam's Club""","'Jelly Pearl Boutique', 'Kafetta Ricotta', ""Mac'Ma"", 'Nutrisa', 'The Italian Coffee'","Capa de Ozono', 'Flexi', 'Mistertennis'",Coppel'," 'Atléticos', 'Martí Outlet'",0," 'Cinépolis', 'Smash', 'Travesuras', 'Winner Room Casino'",0," 'Hitbox', 'Hobbies', 'Sonido 3', 'Spin Regalos'","D'Europe, 'Ingenia Muebles', 'Modatelas'","Gabriela's, ""Gabriela's Accesorios"", 'Pixxi', 'Soy Mia'",Maskota',"'Bosco', 'Carlo Rossano', 'Even True Outlet', 'Forever & Ever', 'Mama Mia', 'María Hermoso', 'Viacorta Jeans'"," 'Gerat Infants Boutique', 'Lego'"," 'Óptica del Sol', 'Óptica Moriel'",0," 'El Chipotle', 'El Mexicano', 'GiGi Crepes', 'KFC', 'La Bella Pizza', 'Loong Hing', ""McDonald's"", 'Pastorcito de San Diego', 'Pau Salads', 'Pizza Hut', 'Subway', 'Tanuki Sushi Bar', 'Vips'"," 'GNC', 'Prodérmica'","'ADO', 'Banamex', 'Banorte', 'BBVA ', 'Ciao Vello', 'Clínica Ruiz Laboratorios', 'Estrella Roja', 'Inbursa', 'INE Módulo de atención', 'Iusacell', 'Megacable', 'Prendamex', 'Scotiabank', 'TONY Super Papelerías', 'Ultravisión', 'Zen-sualook'","'Nextel', 'Owi Concept', 'RadioShack', 'Steren Shop'",'Tarlets Coffee',18,80
plaza real,Lifestyle Center,Cd. Del Carmen,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza real,Lifestyle Center,Nuevo Leó... Monterrey,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza q,Lifestyle Center,Hidalgo Pachuca,si,si,si,si,4 niveles,'Soriana',"'Nutrisa', 'Santa Clara', 'The Italian Coffee'",'Shoe Za By Isabella Boutique',"'Sanborns', 'Sears'",Pirma',0,"'Casino Life', 'Cinemex', 'Gamers'",Anytime fitness',0," 'Ingenia Muebles', 'Productos de TV'",'Beads and Gems',Petterra',0,0,0,0,"Ronny Café', 'Tubo Pub'","GNC', 'Sally Beauty'"," 'Autofin', 'Cablecom', 'CAC Telcel', 'Financiera Libertad', 'Iusacell', 'Style', 'Universidad Interglobal'",Compucel',0,14,28
plaza polanco,Lifestyle Center,CDMX,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza playacar,Lifestyle Center,Quintana R... Playa del ...,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza peninsula,Lifestyle Center,Estado de ... Metepec,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza peninsula,Lifestyle Center,Quintana R... Cancún,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza patria,Lifestyle Center,Jalisco Zapopan,si,si,si,si,2 niveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza parque san antonio,Lifestyle Center,CDMX,si,si,si,si,2 niveles,7-Eleven',Tia Lupita',0,0,0,0,0,0,OMY PARTY',0,0,Animal Love You',0,0,0,0,"Dardinni & Antonella', 'El Tizoncito', 'Sushi Room'",0,"'Beauty Image Studio', 'Don Juanito', 'Purificadora Sirem', 'Scrivania'",Servisite',0,7,13
plaza parque jardin,Lifestyle Center,CDMX,si,si,si,si,4 niveles,Soriana'," 'Coffee Tree', 'Nutrisa'",Flexi',Coppel',0," 'Coffee Tree', 'Nutrisa'"," 'Cinépolis', 'Jam Play'",Mx Gym',0,"'Gabín', 'Mueblerías Noval'",'K & E Accesorios',0,"KIWI', 'Quarry Jeans'",0," 'Óptica Americana', 'Ópticas Devlyn'",0,"Burger King', 'Cassava Roots', 'Chang Hing', 'Little Ceasars', 'Perros y Burros', 'Salad Fresh', 'Subway', 'Sushi Roll', 'Tortas Locas Hipocampo', 'Wings Factory'",GNC',"'AT&T', 'Casa de Empeño El Diamante', 'DC Maat', 'Dental Spa', 'Telcel', 'Tintorerías MAX'",Movistar',0,15,35
plaza paraiso caribe,Lifestyle Center,Quintana R... Playa del ...,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza panoramica bugambilias,Lifestyle Center,Jalisco Zapopan,si,si,si,si,4 niveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza panorama,Lifestyle Center,Estado de ... Huixquiluc...,si,si,si,si,2 niveles,0,0,0,0,Scott Sports Interlomas',Pastelería La Casita',0,CrossFit Ram',0,"'Dormimundo', 'Sherwin Williams'",0,0,0,0,0,0,0,0,"'Body Wrap', 'Cerrajería Pirules', 'Class Education', 'Corbuse', 'Hand Relax', 'Interviajes', 'Iusacell', 'Lifelight Weight Loss', 'Lomas Cosmetic', 'Mail Boxes Etc.', 'Médica Sur', 'MMA Center Martinez Dojo', 'Multifarmacias', 'Music Makers', 'Sound City', 'Tintorería Bosques', 'Violeta Cruzado'","Barber Depot', 'Dental Center', 'Harmon Hall', 'High Spa Center', 'Salón Manolo VIP'","Biscuit', 'Delizie Gourmet', 'Shuky Kosher'",7,26
plaza pabellon universitario,Lifestyle Center,Hidalgo Pachuca,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza oriente,Lifestyle Center,CDMX,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza observatorio,Lifestyle Center,CDMX,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza niza66,Lifestyle Center,CDMX,si,si,si,si,2 niveles,0,'Fried Ice',0,0,0,0,'Luna Cibercafé',Be dancer',0,0,0,0,0,0,0,0,"Decomixado Comic Shop', 'One Way Motorcycle'",0,,0,0,6,11
plaza nia,Lifestyle Center,Nuevo Leó... General Es...,si,si,si,si,3 niveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza monumental,Lifestyle Center,Chihuahua Juárez,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza monarca,Lifestyle Center,Quintana R... Cancún,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza misterios,Lifestyle Center,CDMX,si,si,si,si,3 niveles,0,0,0,Sanborns',0,0,"'Cinemex', 'Yak'",0,0,0,0,0,Star Blue',0,0,'Erotika Love Store',0,0,Harmon Hall',Compuanime',0,6,7
plaza millenium,Lifestyle Center,Estado de ... Tlalnepant...,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza mia santiago tianguistenco,Lifestyle Center,Estado de ...  Santiago ...,si,si,si,si,1 nivel,Soriana',Coffee Tree',0,0,Pirma',Spyral',Cinépolis',0,0,Muebles Dico',Kind Bisutería',0,"'Ribetti', 'Top Fashion'",Bodoquín',"'Óptica Imagen', 'Ópticas Devlyn'",0,"'Burger King', 'Hong Li', 'Subway'",0,"'AutoZone', 'Cash Apoyo Efectivo', 'Eco Clean', 'Iusacell', 'Monte Pío', 'Saajal Salon'","'Celana', 'Cencel', 'La Baratilla del Celular', 'Movistar', 'Nextel'",0,13,27
plaza mia metepec,Lifestyle Center,Estado de ... Metepec,si,si,si,si,1 nivel,Superama'," 'Baskin Robbins', 'Churruminos ', 'Nutrisa', 'Starbucks'",0,0,0,0,"'Blockbuster', 'Winpot'",0,0,"'Comex', 'Muebles Dico', 'Polimob '",0,Maskota',0,Lokotoys',0,0," 'El Fogoncito', 'Kingbuffalo', 'Pizza Piola', 'Subway', 'Toks'",GNC'," 'BBVA ', 'BodyBrite', 'Dentalia', 'Espuma Limpia', 'Evercil', 'Hands', 'Inbursa', 'Interlingua', 'Laboratorios Médica Sur', 'Paper Mart'",RadioShack',0,10,29
plaza mexico,Lifestyle Center,Nuevo Leó... Monterrey,si,si,si,si,2 niveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza mayor,Lifestyle Center,Estado de ... Metepec,si,si,si,si,3 niveles,0,Starbucks Coffee',0,0,0,Arnoldi',0,Capital Fitness',0," 'Cocinas Quetzal', 'Gabín', 'Memory Foam', 'Puertas y Ventanas PVC', 'Victorian'",0,0,"'Adrano Moda y Diseño', 'Eclectika Boutiques', 'I Am Clothing & More', 'Kiwi', 'St. Even'",0,0, 'Mini Cooper'," '100 Montaditos', 'Blatt Salat Haus', 'Haiuni', 'La 1910', 'La Trompería', 'Restaurante IZY', 'Todo Empanadas'",Go Beauty',"'Advance', 'Almundo.com', 'Arcos Consultores', 'BanBajío', 'BC Clinik Medicina', 'Bike World', 'Bodas Plaza Mayor', 'BodyBrite', 'Capital', 'Century 21', 'Elvoly Collection', 'Emotions, Hairdresser & Barber', ""Falwen's"", 'Fashionista', 'Froggin', 'Gobo', 'Hayka', 'Inkania', 'Intercam', 'Interjet', 'Iusacell', 'Medoak', 'Odontologia de Vanguardia', 'Orange', 'Personálika', 'Pixe Arquitectos', 'Slim Body Medical', 'Telcel', 'The Nails Bar', 'Viajes Felgueres'",Heiko Motors',Destilarte',11,54
plaza lua,Lifestyle Center,Nuevo Leó... San Pedro ...,si,si,si,si,3 niveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza los portales,Lifestyle Center,Morelos Cuernavaca,si,si,si,si,1 nivel,0,"'Café Cosecha y Molienda', 'Tepoznieves'",0,0,0,0,0,Power Gym',0,0,0,Cannis',0,0,0,0,"'El Mesón Gaucho', 'La Tortuga Cucufata'",'Roberto & Maquillaje',HSBC',0,La Europea',7,9
plaza los cedros jiutepec,Lifestyle Center,Morelos Jiutepec,si,si,si,si,1 nivel,Soriana'," 'Café Colibri', 'Coffee Tree', 'Cuadrante Coffee Shop', 'La Michoacana', 'Moyo Frozen Yogurt', 'Nutrisa'","'EGO Shoes', 'Flexi', 'Sandalias Gely', 'Stylo Zapaterías', 'USA Shoes'",0,'Martí Outlet',Spyral'," 'Cinépolis', 'Fun Extreme'",0,Chissa',Modatelas',"Alknce', 'Amell'",Maskota',"Kiwi', 'Promodoa outlet'",Kigetibici',Ópticas Devlyn',0,"'Don Giovanni', 'El Antojito Francés', 'Fonda China', 'Kepacrepa', 'Naturalis', ""Papa Bill's"", ""Ruben's"", 'Sushi & More', 'Ta Rico!', 'Toks'","'Cha-Cha-Ras', 'Perfumes Europeos'","Iusacell', 'Mardo Salón', 'Office Depot', 'Telcel', 'Movistar'",Nextel',,17,43
plaza los atrios,Lifestyle Center,Morelos Tierra Lar...,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza loreto,Lifestyle Center,CDMX,si,si,si,si,1 nivel,0,"'Café Punta del Cielo', 'Calufe', 'Dairy Queen', 'Nutrisa'",0,Sanborns',Sportia',Chilim Balam',"Cinemanía', 'Cinemex', 'Foro Abierto', 'Game Planet', 'Mixup', 'Museo Soumaya', 'Yak'",Sport City',0,"'La Cuisine', 'Taleb'",0,Maskota',"Maskota', 'BARI Swimwear', 'Casa del Lino', 'Johnston & Murphy', 'Mipa', 'Rock & Rose', 'Soho', 'Ted Kenton', 'Tendenza'",0, 'Kauffman Ópticas',La casa del Habano',"'Angus Butcher House', 'El Farolito', ""King's Pub"", 'La Chilanguita', 'La Fe, comida china', 'La Taberna Del León', 'Los Canallas', 'Mama Rumba', 'Palmas Karaoke', 'Portobelo', 'Pradda Disco Club', 'Sirloin Stockade', 'Sushi Itto', 'Sushi Zen', 'Taco Inn', 'Tamalli', 'Tutti Frutti Frozen Yogurt'"," 'GNC', 'Inglot Cosmetics', 'Vellísimo Center'","Arnon Eydan Estética', 'Estética Imagen', 'Fine Smile', 'Inbursa', 'izzi', 'Santander', 'Telcel', 'Telmex'",Centro Celular',0,15,57
plaza loreto,Lifestyle Center,Puebla Heróica P...,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
plaza lindavista,Lifestyle Center,CDMX,si,si,si,si,1 nivel,0,"'Aranzazu', 'Aranzazu', 'Café Tatiaxca', 'El Globo', 'La Michoacana', 'Nutrisa'","'Bandolino', 'La Milagresa LM & CO.', 'Michel Domit', 'Ouitari'",Sears',"'1st and 10', 'Martí'",0," 'Game Planet', 'Kids Lindavista'",Curves'," 'El Regalo Perfecto', 'Librería Maranatha', 'Montse', 'Tesoro Oriental'"," 'Ingenia Muebles', 'Marke', 'Memory Foam', 'TV Tiendas'","'Cristal Joyas', 'Joyas Márquiz', 'La Guadalupana', 'Todo Moda'","'Maskota', ""Pet's Market""","Aldo Conti', 'BARI Swimwear', ""Boy's Factory"", 'Ferrioni', 'Julio', 'Liz Minelli', 'LOB', 'Mama Mia', ""Men's Factory"", 'Nicholas', 'Quarry Jeans', 'Scappino', 'Ted Kenton'","'Akihabara', 'Campanita & Kids', 'Confetty', 'Juguetron'",Ópticas Devlyn',"'Expressiones', 'Most', 'Platus', 'Tradecom'","'Burger King', 'Casa de Toño', 'Comida Cantonesa', 'Comida China', 'Exa Live', 'Italian Taco', 'Kilo Grill', 'Las Tiritas', 'Mongólica', 'Oishi', 'Picantería', 'Prefete bar', 'Sabor do Brasil', 'Subway', 'Taco Beef', 'Wings'","Deya', 'Frederick', 'GNC', 'Herbolare', 'Missuky', 'Sally Beauty', 'Vellísimo Center'","Academia de Música Veerkamp', 'Best Day', 'Centro de Atención a Clientes ...', 'CFE', 'CIBanco', 'Hospital de Ipods', 'Iusacell', 'izzi', 'Magnicharters', 'Peugeot', 'Printika', 'Salones Classic', 'Scotiabank', 'Servitime', ""Sharm's"", 'Spa-cio Natural', 'Stilisimo', 'Telcel', ""The Barber's Spa"", 'Toyota', 'Uñas con Ángel', 'UTEL University', 'Veerkamp'","'A-Móvil', 'Audiofilia', 'iShop Mixup', 'Movistar', 'Nextel', 'Perfect Choice', 'RadioShack'",0,18,106
plaza lilas,Lifestyle Center,CDMX,si,si,si,si,1 nivel,Superama',"'Café Les Amis', 'El Globo', 'Santa Clara', 'Starbucks'"," 'Guppy', 'Kakles'",0,0,"'Arnoldi', 'Chucherías', 'Nugat', 'Plica'", 'Billetes de Lotería'," 'Shanti Yoga', 'The Dailey Method'","'DuPlica', 'Librería La Calle de las Venta...', 'T lo regalo'"," 'Blum Diseño Floral', 'Comex', 'Dormimundo', 'Ebanesca (Capelen)', 'Eurobakery Home (la cocina de P...', 'Global Woods', 'Home & Cook', 'Marcos Mancera', 'Núvole', 'Puente Viejo', 'Ramsol', 'Solar Q', 'Todo en Orden', 'Xanic","'Joyas y Regalos Lomas', 'Teresa de Angoitia'",'Consultorio Veterinario Lilas'," 'Almatrichi Madrid', 'Antía', 'IQ Uniformes', 'Mary Thelma Meza'","'Al Agua Patos', 'Gocco', 'Imaginarium', 'Jim & Miss', 'Nanos', 'Nap', 'Neck & Neck', 'Peekaboo', 'Petit Monde'",0,0,"'Bisquets Sor Juana', 'China Express', 'Daruma', 'De La Zona', 'Garabatos', 'Gotzone', 'La Parrilla Casera', 'La Tortuga Ahogada', 'Las Ke Costras', ""McDonald's"", 'Snack Land', 'Vips', 'Yuku Tako'","'GNC', 'Naturhouse'","'Banamex', 'Banca Patrimonial Banamex', 'BBVA ', 'Body Taktik', 'BodyBrite', 'Centro Cambiario TDE', 'Century 21', 'CIBanco', 'Depelle', 'El Alfiletero', 'Farmacia Bosques', ""Foto's todo en Impresión arte"", 'Gold Fast Cash', 'Homeopatía Blesse', 'HSBC', 'Inbursa', 'Interlingua', 'IXE', 'Karate', 'Kptur arte', 'Kumon', 'Master Post', 'MD Interiores', 'Médica Sur', 'Mint', 'Mobility Go', 'Mr. Tools', 'Oriental Rug Hospital', 'Papelería Dabson', ""Papu's"", ""Peluquería Chic's"", 'Santander', 'Stilisimo', 'Tempo Novo', 'Tintorería Bosques', 'Verónica Castro', 'Yukids', 'Zen Spa'",0,Oná',16,101
plaza las torres,Lifestyle Center,Jalisco Guadalajar...,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza las ramblas,Lifestyle Center,Jalisco Guadalajar...,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza las flores coacalco,Lifestyle Center,Estado de ... San Franci...,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza la vista,Lifestyle Center,Guerrero Acapulco,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza la silla,Lifestyle Center,Nuevo Leó... Monterrey,si,si,si,si,3 niveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza la rosa,Lifestyle Center,CDMX,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza la pilita,Lifestyle Center,Estado de ... Metepec,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
plaza la noria,Strip Mall,CDMX,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza la joya,Lifestyle Center,Nuevo Leó... San Nicol?...,si,si,si,si,2 niveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza la fe,Lifestyle Center,Nuevo Leó... San Nicol?...,si,si,si,si,1 nivel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza juriquilla,Lifestyle Center,Querétaro Juriquilla,si,si,si,si,1 nivel,'Oxxo'," 'Boba&Junk', 'Café Amadeus', 'Mizha Crepe', 'Panque de Natas Queretanas', 'Tessito'",0,0,Bicitodo Elite',El rey del dulce',Video plug',0,0," 'Atlas City Comfort', ""D'Europe"", 'East Village', 'Sherwin Williams', 'Telas Bayón'",0,"""Pet's shop""",Abercrombie',Milktology',Óptica Anzures',0,"'Cabeson Taurino', 'Cocina Carretas', 'Cosí Fan Tutte', 'El Encuentro', ""Emilio's"", 'Flautas Satelucas', 'Gorditas las Américas', 'Hawaiian Paradise', 'La Sirena Gorda', ""Paddy's Lane"", 'Random', 'Subway', 'Tutti Frutti Frozen Yogurt'","'Express Salón', 'Aeroméxico'"," 'AXA', 'Banamex', 'BBVA ', 'Bellashes', 'BodyBrite', 'Bupu', 'Century 21', 'DHL Express', 'Easy Clean', 'Estafeta', 'Family Chiropractic', 'FedEx', 'Generix', 'HSBC', 'Inbursa', 'Interleu  Prensamoney', 'IQ 230', 'IXE', 'Laboratorio Corregidora', 'Megacable', 'Megarotulación', 'Nei Dent', 'Scotiabank', 'Telcel', 'Trazo Hecho', 'Vitalium Hair Studio'","'Ricoh', 'Servicomp'",La Europea',15,62
plaza insurgentes,Lifestyle Center,CDMX,si,si,si,si,3 niveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plaza inn,Lifestyle Center,CDMX,si,si,si,si,4 niveles,0,"'Cup Stop', 'Krispy Kreme', 'Santa Clara', 'Tres Leches'",La Milagresa LM & CO.',0,Swim Store', 'Chocolates R. Picard',0,0,"JugandoAndo', 'Librería Francesa'",0,"'Diseño en Joyas San Ángel Inn', 'Prata'",0,"'Bésame', 'Bomú', 'Casa Marcelo', 'Cia. Mexicana de Trajes', 'Welton'",Hop Hop Toons'," 'Ópticas Devlyn', 'Rosedal Ópticas'",Erotika Love Store',"'Bistro Inn', 'Chazz', ""Chili's"", 'Coccinelle Bistro', 'Green Grass', 'Hamburguesas HM', 'Sushi Roll', 'Taco Inn', 'Ureshi',","'ARTDECO', 'Barbería Da Pietro', 'Model Art Spa', 'Monserrat Estéticas', 'Now Image Studio', 'Revive', 'Soria Natural'","Banco Afirme', 'Banorte', 'Basila Invercasa', 'Best Day', 'CAPILartes', 'CCSOLE', 'Centro Eleia', 'Cetesdirecto', 'CFE', 'Clínica Dental Especializada', 'Conference Corporativo', 'Consain', 'Creditum', 'División Dental', 'Fotoarte', 'Gabs International Travel', 'Grupo Ramos', 'HDI Seguros', 'HSBC', 'IMOVO', 'INAP', 'Inbursa', 'IXE', 'Laboratorio Médico del Chopo', 'Laboratorio Médico Polanco', 'Malpica Solís', 'Más Fondos', 'Multiva', 'OEF', 'OUI', 'Ozawa Dental', 'Podólogos', 'Pro Salud Mediagnostic', 'RADIODIAGNÓSTICO CB DENTAL', 'Reset', 'SACMEX', 'Saishio Dental', 'Scotiabank', 'Telefashion', 'United', 'Vera Spa'",The big Shop',Booze Shop',15,79
plaza galerias chihuahua,Lifestyle Center,Chihuahua Chihuahua,si,si,si,si,2 niveles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
